feature,importance,fold
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_garage_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_holiday_home_land_MEAN,1,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_home_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_new_car_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_used_car_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Car_repairs_MEAN,12,1
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Everyday_expenses_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,8,1
PREV_NAME_CASH_LOAN_PURPOSE_Gasification_water_supply_MEAN,10,1
PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,10,1
PREV_NAME_CASH_LOAN_PURPOSE_Money_for_a_third_person_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,6,1
PREV_NAME_CASH_LOAN_PURPOSE_Payments_on_other_loans_MEAN,13,1
PREV_NAME_CASH_LOAN_PURPOSE_Purchase_of_electronic_equipment_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Refusal_to_name_the_goal_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,18,1
PREV_NAME_CASH_LOAN_PURPOSE_Urgent_needs_MEAN,17,1
PREV_NAME_CASH_LOAN_PURPOSE_Wedding_gift_holiday_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,13,1
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,27,1
PREV_NAME_CASH_LOAN_PURPOSE_nan_MEAN,0,1
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,48,1
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,35,1
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,60,1
PREV_NAME_CONTRACT_STATUS_Unused_offer_MEAN,1,1
PREV_NAME_CONTRACT_STATUS_nan_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_Cash_through_the_bank_MEAN,27,1
PREV_NAME_PAYMENT_TYPE_Cashless_from_the_account_of_the_employer_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_Non_cash_from_your_account_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,40,1
PREV_NAME_PAYMENT_TYPE_nan_MEAN,0,1
PREV_CODE_REJECT_REASON_CLIENT_MEAN,0,1
PREV_CODE_REJECT_REASON_HC_MEAN,18,1
PREV_CODE_REJECT_REASON_LIMIT_MEAN,13,1
PREV_CODE_REJECT_REASON_SCO_MEAN,54,1
PREV_CODE_REJECT_REASON_SCOFR_MEAN,6,1
PREV_CODE_REJECT_REASON_SYSTEM_MEAN,0,1
PREV_CODE_REJECT_REASON_VERIF_MEAN,10,1
PREV_CODE_REJECT_REASON_XAP_MEAN,37,1
PREV_CODE_REJECT_REASON_XNA_MEAN,3,1
PREV_CODE_REJECT_REASON_nan_MEAN,0,1
PREV_NAME_TYPE_SUITE_Children_MEAN,6,1
PREV_NAME_TYPE_SUITE_Family_MEAN,30,1
PREV_NAME_TYPE_SUITE_Group_of_people_MEAN,1,1
PREV_NAME_TYPE_SUITE_Other_A_MEAN,11,1
PREV_NAME_TYPE_SUITE_Other_B_MEAN,4,1
PREV_NAME_TYPE_SUITE_Spouse_partner_MEAN,20,1
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,87,1
PREV_NAME_TYPE_SUITE_nan_MEAN,102,1
PREV_NAME_CLIENT_TYPE_New_MEAN,44,1
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,52,1
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,17,1
PREV_NAME_CLIENT_TYPE_XNA_MEAN,0,1
PREV_NAME_CLIENT_TYPE_nan_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Additional_Service_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Animals_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Audio_Video_MEAN,29,1
PREV_NAME_GOODS_CATEGORY_Auto_Accessories_MEAN,4,1
PREV_NAME_GOODS_CATEGORY_Clothing_and_Accessories_MEAN,4,1
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,24,1
PREV_NAME_GOODS_CATEGORY_Construction_Materials_MEAN,13,1
PREV_NAME_GOODS_CATEGORY_Consumer_Electronics_MEAN,19,1
PREV_NAME_GOODS_CATEGORY_Direct_Sales_MEAN,2,1
PREV_NAME_GOODS_CATEGORY_Education_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Fitness_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,25,1
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,8,1
PREV_NAME_GOODS_CATEGORY_Homewares_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_House_Construction_MEAN,0,1
